marker,gene,gmsdis_coef,gmsdis_coef_pval,gmsdis_pval_fdr
9067_152_3,CEP57,-0.181991937,0.004832516,0.024862526
7693_13_3,TNFRSF10B,0.124498171,0.00433,2.83025e-4
4549_78_2,FUT5,0.249548626,1.68e-7,2.58e-5
3438_10_2,FSTL3,0.154760217,0.0104,1.31e-14
8065_245_3,PATE4,-0.178231686,0.001248148,0.017812951
9182_3_3,LRP1,0.290855843,6.68e-5,7.18e-5
4721_54_2,TFF3,0.129061699,0.041387221,0.00336729
13926_1_3,RMI1,-0.219371827,0.007639112,0.021846987
7218_87_3,ATP1B2,0.145119883,0.0371,0.00234
3403_1_2,TPSB2,0.167593724,0.006183836,0.008485015
12790_10_3,CCDC51,-0.112927549,0.041253247,0.004503997
6444_15_3,PSG3,0.199990324,0.007634376,0.039023018
10499_1_3,TMEM106A,0.214957962,0.00163,0.012097752
8758_2_3,PCDHA7,0.21082075,5.41e-5,2.59e-7
5337_64_3,CD86,0.318886075,1.81e-8,1.07e-7
11659_31_3,CLINT1,0.15779724,0.00336,0.002341167
2939_10_2,ARTN,0.318096965,0.002352106,0.008123215
14747_9_3,CRLF1,0.247556561,4.61e-6,4.57702e-4
3281_19_1,ANGPTL3,-0.188212851,0.002089358,0.018244549
13494_6_3,CERS5,-0.214330763,0.004412836,0.016986484
6304_8_3,C1QTNF1,0.26514453,0.003570499,1.82e-7
13959_7_3,LAP3,-0.167735225,0.006354259,0.001587687
2748_3_2,INHBA,0.188933126,0.00615272,0.006558448
6603_18_3,KAL1,-0.166258274,0.009795197,6.60759e-4
11257_1_3,QDPR,-0.170536973,0.010110734,1.46e-7
9526_3_3,CLPSL1,-0.231711232,2.76171e-4,0.004694012
4460_8_2,PDPK1,-0.172322087,0.004102258,0.014021244
9524_46_3,SPATA31D4,-0.121948203,0.024386334,1.48629e-4
12694_28_3,DIMT1,-0.258192818,5.73e-5,0.002331936
3877_67_2,CAMKK1,-0.213468247,0.001746757,0.017118846
9598_23_3,CSMD1,0.265435822,3.91e-6,2.78e-5
10076_1_3,AP4M1,-0.171673403,0.004314944,0.007454766
4250_23_3,NSFL1C,0.168785167,0.00174,0.001488362
14133_93_3,IL1R2,0.119401632,0.00376,4.76e-13
13744_37_3,IL3RA,-0.157516427,0.00251,0.010396136
10721_76_3,PCDHGB4,0.174070381,0.004274167,0.023740627
8957_72_3,ERLEC1,0.142505546,0.00678,0.0218
13393_46_3,DERL1,0.187404891,0.002465258,0.009828816
8314_71_3,GNS,0.253490536,7.16e-5,1.1e-9
8565_160_3,PLVAP,0.131722236,0.049888272,0.043003831
3421_54_2,TNFSF8,0.234516096,8.71e-5,9.27787e-4
2455_17_4,IL12A,-0.356958162,8.91e-5,0.003264723
2805_6_2,ACE2,-0.16690596,0.002924901,0.002279888
4559_64_2,KYNU,-0.241230763,9.50634e-4,0.018282113
8403_18_3,FASN,0.166785799,0.041399558,0.010048839
3032_11_2,CGA,0.342575767,1.14e-7,9.45e-36
4246_40_2,L1CAM,-0.104090906,0.015,2.09e-10
14121_24_3,TNFRSF10D,0.15263474,0.0108,1.44e-5
8337_65_3,PTPRU,0.18554381,4.93808e-4,0.009273846
3321_2_2,IL24,-0.192502238,5.26723e-4,0.005393839
8462_18_3,GH1,-0.160900346,0.027634864,1.44e-5
8646_61_3,LRRTM4,-0.247158786,2.31135e-4,0.006614372
8372_29_3,CDHR1,-0.227008213,0.001280548,0.017819044
12804_5_3,GMEB2,-0.382900419,1.72991e-4,0.002331936
13580_2_3,UAP1,0.182570609,0.008159895,3.79e-6
10618_190_3,LRP2,-0.117728297,0.00771,4.18e-8
11297_54_3,NOTCH2,0.1261953,0.047615923,1.89e-11
6352_8_3,INSRR,0.099326915,0.0389,0.04197095
4330_4_2,KLK3,-0.161461759,0.0244,8.75e-8
14134_49_3,AMIGO2,0.256285993,1.37e-5,3.52e-6
9326_33_3,ITIH2,0.140799282,0.0237,1.79e-6
7146_16_3,PDIA4,0.201,2.7e-5,7.65508e-4
5704_74_3,GZMM,-0.220372642,2.95e-5,1.64e-6
6471_53_3,CFHR4,-0.22829214,1.12e-4,0.001333222
5111_15_3,NRXN3,-0.145409239,0.012437647,1.84043e-4
6207_10_3,PSAP,-0.106570295,0.021859351,0.004235694
2816_50_2,BCAM,0.117118547,0.0079522,0.00898402
4867_15_2,VEGFA,-0.173948492,0.00634865,0.024690186
3152_57_1,TNFRSF1B,0.320101304,2.39e-5,1.51e-5
10902_53_3,ASPRV1,-0.146245458,0.038135944,1.94186e-4
9439_454_3,C2orf82,-0.131292935,0.030586999,0.005206323
10700_10_3,IGSF11,-0.177624958,0.001743707,0.019317461
7245_2_3,CELF2,-0.355842488,0.003199548,0.016170657
14144_3_3,HIST3H2A,-0.338804072,7.28003e-4,0.012030729
4976_57_1,CRK,0.232369084,2.88794e-4,0.003401743
11270_17_3,CHCHD10,0.109930537,0.0367,0.002489485
8699_43_3,CRIM1,-0.309854168,0.001038411,0.018627956
9116_28_3,HEPACAM2,0.250202482,2.3176e-4,2.01614e-4
10914_4_3,CHIC2,0.219670364,4.19e-5,1.43643e-4
7161_25_3,H6PD,0.203639729,3.16e-4,0.001046948
7106_37_3,OOSP2,-0.255651996,1.74714e-4,0.00293637
10803_22_3,PCDHGB2,0.17529928,0.009062417,0.034386229
9757_29_3,ENAH,-0.229855687,4.06988e-4,0.00464
6260_14_3,FAM163A,0.096450451,0.0106,0.003366007
14091_42_3,CBR3,0.138358594,0.010121058,0.010574997
2835_1_4,XRCC6,-0.237350761,0.005912712,0.013092072
4962_52_1,CDNF,0.388977621,1.8e-10,6.84e-9
13670_81_3,PLA2G2E,0.162341185,0.002226503,0.005011021
5939_42_3,TNFSF12,0.118654512,0.0141,7.8e-6
10981_56_3,NRG3,0.090737814,0.0463,4.15e-5
14050_61_3,EFNA4,0.375505122,1.05e-9,1.14e-8
2991_9_2,IL1R1,0.281925299,4e-7,1.89e-11
4437_56_3,ENTPD5,-0.232865175,1.0912e-4,0.001412188
2649_77_2,ICAM3,-0.23887611,0.002791009,0.024734079
6590_54_3,NRP2,0.210289485,2.64e-5,4.39e-5
13972_4_3,HSD17B14,0.307069678,3.6e-6,1.68e-7
3431_54_2,EPHA1,0.100389563,0.0139,4.01e-15
